"ocid","release_id","id","title","description","status","procuringEntity_id","procuringEntity_name","value_amount","value_currency","procurementMethod","procurementMethodDetails","mainProcurementCategory","awardCriteria","tenderPeriod_startDate","tenderPeriod_endDate","tenderPeriod_maxExtentDate","tenderPeriod_durationInDays","enquiryPeriod_startDate","enquiryPeriod_endDate","enquiryPeriod_maxExtentDate","enquiryPeriod_durationInDays","hasEnquiries","eligibilityCriteria","awardPeriod_startDate","awardPeriod_endDate","awardPeriod_maxExtentDate","awardPeriod_durationInDays","numberOfTenderers"
"ocds-5wno2w-RE-PU-CONGOPE-2025-007-69008","RE-PU-CONGOPE-2025-007-69008-2025-08-30T19:01:52.589Z-compiled","RE-PU-CONGOPE-2025-007-69008","RE-PU-CONGOPE-2025-007-69008","Servicio de organización y realización para la participación en la ?XV Edición del Salón del Chocolate, Cacao y Café Ecuador 2025? del 27, 28 y 29 de junio de 2025 en Quito","active","EC-RUC-1760005110001-69008","CONSORCIO DE GOBIERNOS AUTONOMOS PROVINCIALES DEL ECUADOR","22000.00","USD","direct","Bienes y Servicios únicos","services","ratedCriteria","2025-06-09T17:00:00-05:00","2025-06-11T10:00:00-05:00","2025-06-11T10:00:00-05:00","1","2025-06-09T17:00:00-05:00","","","","","Metodología de Desarrollo,Cumplimiento Especificaciones,Equipo Propuesto,Personal Técnico,Experiencia General,Experiencia Específica,Experiencia Personal Técnico","","2025-06-16T17:00:00-05:00","2025-06-16T17:00:00-05:00","","1"
"ocds-5wno2w-RE-PU-DIGTAH-2025-001-2572","RE-PU-DIGTAH-2025-001-2572-2025-07-15T16:57:59.637Z-compiled","RE-PU-DIGTAH-2025-001-2572","RE-PU-DIGTAH-2025-001-2572","SERVICIO DE ACCESO A LA RED AVANZADA DE INVESTIGACIÓN, ACADEMIA Y COMUNICACIONES DE ENLACE DE INTERNET","active","EC-RUC-0968562100001-2572","FUERZA NAVAL","460000.00","USD","direct","Bienes y Servicios únicos","services","ratedCriteria","2025-06-04T12:00:00-05:00","2025-06-11T12:00:00-05:00","2025-06-11T12:00:00-05:00","7","2025-06-04T12:00:00-05:00","","","","","Oferta Económica,Cumplimiento Especificaciones,Garantía Técnica,Personal Técnico,Experiencia Personal Técnico","","2025-06-16T17:00:00-05:00","2025-06-16T17:00:00-05:00","","1"
"ocds-5wno2w-RE-PU-CEE-2025-008-2504","RE-PU-CEE-2025-008-2504-2025-07-17T16:58:58.647Z-compiled","RE-PU-CEE-2025-008-2504","RE-PU-CEE-2025-008-2504","ADQUISICIÓN DE REPUESTOS Y ACCESORIOS PARA MAQUINARIA CATERPILLAR DE LA UEC ORIENTE","active","EC-RUC-1768007040001-2504","CUERPO DE INGENIEROS DEL EJERCITO","60000.00","USD","direct","Bienes y Servicios únicos","goods","ratedCriteria","2025-06-18T18:00:00-05:00","2025-06-25T10:00:00-05:00","2025-06-25T10:00:00-05:00","6","2025-06-18T18:00:00-05:00","","","","","Otros Parámetros de Calificación,Cumplimiento Especificaciones,Experiencia General,Experiencia Específica","","2025-07-04T18:00:00-05:00","2025-07-04T18:00:00-05:00","","1"
"ocds-5wno2w-RE-PU-ANDEC-2025-003-467908","RE-PU-ANDEC-2025-003-467908-2025-09-18T19:27:18.308Z-compiled","RE-PU-ANDEC-2025-003-467908","RE-PU-ANDEC-2025-003-467908","SERVICIO DE MANTENIMIENTO OVERHAUL DE MANIPULADORAS DOOSAN","active","EC-RUC-0990001340001-467908","ACERIAS NACIONALES DEL ECUADOR SOCIEDAD ANONIMA (A.N.D.E.C.)","72073.06","USD","direct","Bienes y Servicios únicos","services","ratedCriteria","2025-06-11T16:30:00-05:00","2025-06-16T10:00:00-05:00","2025-06-16T10:00:00-05:00","4","2025-06-11T16:30:00-05:00","","","","","Cumplimiento Especificaciones","","2025-06-20T16:30:00-05:00","2025-06-20T16:30:00-05:00","","1"
"ocds-5wno2w-RE-PU-EPMTTM-2025-02-393608","RE-PU-EPMTTM-2025-02-393608-2025-08-20T18:23:44.294Z-compiled","RE-PU-EPMTTM-2025-02-393608","RE-PU-EPMTTM-2025-02-393608","ADQUISICIÓN DE CAJERO AUTOMÁTICO PARA PAGO DE SERVICIOS Y EQUIPOS PARA EL SISTEMA DE RECONOCIMIENTO DE PLACAS DEL TERMINAL TERRESTRE DE MACHALA EP","active","EC-RUC-0760046920001-393608","EMPRESA PUBLICA MUNICIPAL TERMINAL TERRESTRE DE MACHALA EP","35040.00","USD","direct","Bienes y Servicios únicos","goods","ratedCriteria","2025-06-18T18:10:00-05:00","2025-06-23T17:00:00-05:00","2025-06-23T17:00:00-05:00","4","2025-06-18T18:10:00-05:00","","","","","Garantía Técnica,Equipo Propuesto,Personal Técnico,Experiencia Específica","","2025-06-26T12:00:00-05:00","2025-06-26T12:00:00-05:00","","1"
"ocds-5wno2w-RE-PU-ESNACE-2025-003-2519","RE-PU-ESNACE-2025-003-2519-2025-08-21T18:41:32.333Z-compiled","RE-PU-ESNACE-2025-003-2519","RE-PU-ESNACE-2025-003-2519","ADQUISICIÓN DE REPUESTOS Y ACCESORIOS MTU PARA LAS UNIDADES SUBORDINADAS A LA COMANDANCIA DE LA ESCUADRA","active","EC-RUC-1768026340001-2519","ESTACION NAVAL CENTRO","269114.73","USD","direct","Bienes y Servicios únicos","goods","ratedCriteria","2025-06-18T16:00:00-05:00","2025-06-26T11:00:00-05:00","2025-06-26T11:00:00-05:00","7","2025-06-18T16:00:00-05:00","","","","","Plazo de Entrega,Oferta Económica,Otros Parámetros de Calificación,Garantía Técnica","","2025-07-09T14:00:00-05:00","2025-07-09T14:00:00-05:00","","1"
"ocds-5wno2w-RE-PU-DNA-2025-004-178618","RE-PU-DNA-2025-004-178618-2025-09-11T19:52:09.172Z-compiled","RE-PU-DNA-2025-004-178618","RE-PU-DNA-2025-004-178618","CONTRATACIÓN DEL SERVICIO DE ENLACES DE DATOS DEDICADOS DESDE CONECEL S.A. PARA LA TRANSMISIÓN DE INFORMACIÓN INTERCEPTADA A LA SALA DE ANÁLISIS DEL DEPARTAMENTO DE VIGILANCIA, MONITOREO Y ANÁLISIS DE COMUNICACIONES DE LA UIAN","active","EC-RUC-1768040760001-178618","DIRECCION NACIONAL DE INVESTIGACION ANTIDROGAS","29920.00","USD","direct","Bienes y Servicios únicos","services","ratedCriteria","2025-06-18T19:30:00-05:00","2025-06-20T17:00:00-05:00","2025-06-20T17:00:00-05:00","1","2025-06-18T19:30:00-05:00","","","","","Oferta Económica,Otros Parámetros de Calificación","","2025-06-23T18:00:00-05:00","2025-06-23T18:00:00-05:00","","1"
"ocds-5wno2w-RE-PU-FPL-DRPL-2025-00001-83294","RE-PU-FPL-DRPL-2025-00001-83294-2025-07-04T16:43:22.947Z-compiled","RE-PU-FPL-DRPL-2025-00001-83294","RE-PU-FPL-DRPL-2025-00001-83294","Servicio de MANTENIMIENTO PREVENTIVO Y CORRECTIVO DEL ASCENSOR DE LA FISCALIA DE LOJA","active","EC-RUC-1160038990001-83294","FISCALIA DE LOJA","2869.32","USD","direct","Bienes y Servicios únicos","services","ratedCriteria","2025-06-18T15:00:00-05:00","2025-06-23T15:00:00-05:00","2025-06-23T15:00:00-05:00","5","2025-06-18T15:00:00-05:00","","","","","Otros Parámetros de Calificación,Cumplimiento Especificaciones,Personal Técnico,Experiencia General,Experiencia Específica,Experiencia Personal Técnico","","2025-06-27T15:00:00-05:00","2025-06-27T15:00:00-05:00","","1"
"ocds-5wno2w-RE-PU-UNACH-2025-005-124774","RE-PU-UNACH-2025-005-124774-2025-07-09T17:50:23.065Z-compiled","RE-PU-UNACH-2025-005-124774","RE-PU-UNACH-2025-005-124774","CONTRATACIÓN DE ACCESO Y USOA LA BASE DE DATOS SCOPUS, PARA ACTIVIDADES ACADÉMICAS Y DEINVESTIGACIÓN DE LA UNIVERSIDAD NACIONAL DE CHIMBORAZO, AÑO 2025","active","EC-RUC-0660001840001-124774","Universidad Nacional de Chimborazo","19702.91","USD","direct","Bienes y Servicios únicos","services","ratedCriteria","2025-06-05T16:00:00-05:00","2025-06-11T14:00:00-05:00","2025-06-11T14:00:00-05:00","5","2025-06-05T16:00:00-05:00","","","","","Experiencia,Oferta Económica,Cumplimiento Especificaciones","","2025-06-18T18:00:00-05:00","2025-06-18T18:00:00-05:00","","1"
"ocds-5wno2w-RE-PU-HGNGC-2025-004-818925","RE-PU-HGNGC-2025-004-818925-2025-07-05T17:50:54.603Z-compiled","RE-PU-HGNGC-2025-004-818925","RE-PU-HGNGC-2025-004-818925","CONTRATACION DEL SERVICIO DE MANTENIMIENTO PREVENTIVOPARA RESONADOR MAGENTICO, DEL HOSPITAL GENERAL DELNORTE DE GUAYAQUIL LOS CEIBOS.","active","EC-RUC-0968606840001-818925","HOSPITAL GENERAL DEL NORTE DE GUAYAQUIL LOS CEIBOS","53613.36","USD","direct","Bienes y Servicios únicos","services","ratedCriteria","2025-06-18T20:00:00-05:00","2025-06-26T10:00:00-05:00","2025-06-26T10:00:00-05:00","7","2025-06-18T20:00:00-05:00","","","","","Otros Parámetros de Calificación,Cumplimiento Especificaciones,Equipo Propuesto,Personal Técnico,Experiencia General,Experiencia Específica","","2025-07-08T12:00:00-05:00","2025-07-08T12:00:00-05:00","","1"
"ocds-5wno2w-RE-PU-UTMACH-2025-005-60177","RE-PU-UTMACH-2025-005-60177-2025-07-10T17:27:55.200Z-compiled","RE-PU-UTMACH-2025-005-60177","RE-PU-UTMACH-2025-005-60177","SUSCRIPCIÓN DE LA BASE DE DATOS TIRANT PARA LA BIBLIOTECA GENERAL DE LA UNIVERSIDAD TÉCNICA DE MACHALA","active","EC-RUC-0760001580001-60177","Universidad Tecnica de Machala","7500.00","USD","direct","Bienes y Servicios únicos","services","ratedCriteria","2025-06-18T15:00:00-05:00","2025-06-24T15:00:00-05:00","2025-06-24T15:00:00-05:00","6","2025-06-18T15:00:00-05:00","","","","","Experiencia General,Experiencia Específica","","2025-06-27T15:00:00-05:00","2025-06-27T15:00:00-05:00","","1"
"ocds-5wno2w-RE-PU-LICGUA-2025-00001-819223","RE-PU-LICGUA-2025-00001-819223-2025-07-08T17:48:28.266Z-compiled","RE-PU-LICGUA-2025-00001-819223","RE-PU-LICGUA-2025-00001-819223","CONTRATACIÓN DEL SERVICIO ACCESO A LA RED AVANZADA DE INVESTIGACIÓN Y ACADEMIA PARA LA UNIDAD EDUCATIVA DE FUERZAS ARMADAS LICEO NAVAL GUAYAQUIL ?CMDT. RAFAEL ANDRADE LALAMA? AÑO 2025","active","EC-RUC-0968606760001-819223","UNIDAD EDUCATIVA DE FUERZAS ARMADAS LICEO NAVAL GUAYAQUIL COMANDANTE RAFAEL ANDRADE LALAMA","22100.00","USD","direct","Bienes y Servicios únicos","services","ratedCriteria","2025-06-09T14:30:00-05:00","2025-06-17T14:30:00-05:00","2025-06-17T14:30:00-05:00","8","2025-06-09T14:30:00-05:00","","","","","Experiencia,Cumplimiento Especificaciones,Garantía Técnica","","2025-06-18T15:30:00-05:00","2025-06-18T15:30:00-05:00","","1"
"ocds-5wno2w-RE-PU-CSAEC-2025-01-87300","RE-PU-CSAEC-2025-01-87300-2025-07-21T17:07:23.133Z-compiled","RE-PU-CSAEC-2025-01-87300","RE-PU-CSAEC-2025-01-87300","ADQUISICIÓN DE REACTIVOS DE BIOMETRÍA HEMÁTICA PARA EL EQUIPO MARCA MINDRAY, MODELO BC-5300 PARA EL SERVICIO DE LABORATORIO CLÍNICO DEL CENTRO DE SALUD A – EL CARMEN","active","EC-RUC-1360060020001-87300","CENTRO DE SALUD A - EL CARMEN","27547.50","USD","direct","Bienes y Servicios únicos","services","ratedCriteria","2025-06-09T13:00:00-05:00","2025-06-13T13:00:00-05:00","2025-06-13T13:00:00-05:00","4","2025-06-09T13:00:00-05:00","","","","","Cumplimiento Especificaciones","","2025-06-16T15:00:00-05:00","2025-06-16T15:00:00-05:00","","1"
"ocds-5wno2w-RE-PU-EMASEO-EP-2025-003-276265","RE-PU-EMASEO-EP-2025-003-276265-2025-08-12T22:33:14.361Z-compiled","RE-PU-EMASEO-EP-2025-003-276265","RE-PU-EMASEO-EP-2025-003-276265","SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO PARA LOS EQUIPOS ALIADOS AMS","active","EC-RUC-1768155310001-276265","EMPRESA PUBLICA METROPOLITANA DE ASEO","473420.00","USD","direct","Bienes y Servicios únicos","services","ratedCriteria","2025-06-19T20:00:00-05:00","2025-06-23T10:00:00-05:00","2025-06-23T10:00:00-05:00","3","2025-06-19T20:00:00-05:00","","","","TRUE","Otros Parámetros de Calificación,Cumplimiento Especificaciones,Equipo Propuesto,Experiencia Personal Técnico","","2025-07-03T17:00:00-05:00","2025-07-03T17:00:00-05:00","","1"
"ocds-5wno2w-RE-PU-EPCOTSA-2025-001-432323","RE-PU-EPCOTSA-2025-001-432323-2025-09-20T19:16:21.109Z-compiled","RE-PU-EPCOTSA-2025-001-432323","RE-PU-EPCOTSA-2025-001-432323","RENOVACIÓN DE SISTEMA Y PAQUETES INFORMÁTICOS PARA EL CENTRO MÉDICO SANTO DOMINGO SOLIDARIO","active","EC-RUC-2360004350001-432323","EMPRESA PÚBLICA PROVINCIAL SANTO DOMINGO CONSTRUYE EP","2232.14","USD","direct","Bienes y Servicios únicos","services","ratedCriteria","2025-06-19T14:00:00-05:00","2025-06-27T14:00:00-05:00","2025-06-27T14:00:00-05:00","8","2025-06-19T14:00:00-05:00","","","","","Experiencia,Cumplimiento Especificaciones,Garantía Técnica,Personal Técnico,Experiencia Personal Técnico","","2025-07-03T14:00:00-05:00","2025-07-03T14:00:00-05:00","","1"
"ocds-5wno2w-RE-PU-DD08D04QS-2025-00001-167462","RE-PU-DD08D04QS-2025-00001-167462-2025-07-16T16:57:24.571Z-compiled","RE-PU-DD08D04QS-2025-00001-167462","RE-PU-DD08D04QS-2025-00001-167462","CONTRATACIÓN DEL SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO DEL EQUIPO DE RAYOS X DIGITAL PORTATIL DEL HOSPITAL BASICO PADRE ALBERTO BUFFONI DE LA DIRECCIÓN DISTRITAL 08D04 QUININDÉ-SALUD","active","EC-RUC-0860004580001-167462","DIRECCION DISTRITAL 08D04 - QUININDE - SALUD","16300.00","USD","direct","Bienes y Servicios únicos","services","ratedCriteria","2025-06-19T17:00:00-05:00","2025-06-25T17:00:00-05:00","2025-06-25T17:00:00-05:00","6","2025-06-19T17:00:00-05:00","","","","TRUE","Otros Parámetros de Calificación,Cumplimiento Especificaciones,Equipo Propuesto,Personal Técnico,Experiencia General,Experiencia Específica,Experiencia Personal Técnico","","2025-07-02T17:00:00-05:00","2025-07-02T17:00:00-05:00","","1"
"ocds-5wno2w-RE-PU-EPMMOP-2025-13-741823","RE-PU-EPMMOP-2025-13-741823-2025-07-23T17:00:51.762Z-compiled","RE-PU-EPMMOP-2025-13-741823","RE-PU-EPMMOP-2025-13-741823","PRESTACIÓN DEL SERVICIO DE IMPLEMENTACIÓN, SOPORTE TÉCNICO Y MANTENIMIENTO DEL ?MÓDULO DE MONITOREO Y SEGUIMIENTO DE LA PLANIFICACIÓN PROGRAMÁTICA FASE 1, MÓDULO DEL PAC DE LA EPMMOP A TRAVÉS DEL SISTEMA CGWEB","active","EC-RUC-1768154690001-741823","Empresa Publica Metropolitana de Movilidad y Obras Publicas","14980.00","USD","direct","Bienes y Servicios únicos","services","ratedCriteria","2025-06-19T17:00:00-05:00","2025-06-26T10:00:00-05:00","2025-06-26T10:00:00-05:00","6","2025-06-19T17:00:00-05:00","","","","","Otros Parámetros de Calificación,Cumplimiento Especificaciones,Personal Técnico,Experiencia General,Experiencia Específica,Experiencia Personal Técnico","","2025-07-02T17:00:00-05:00","2025-07-02T17:00:00-05:00","","1"
"ocds-5wno2w-RE-PU-DIGMAT-2025-006-2465","RE-PU-DIGMAT-2025-006-2465-2025-07-15T17:01:03.134Z-compiled","RE-PU-DIGMAT-2025-006-2465","RE-PU-DIGMAT-2025-006-2465","MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE LAS MÁQUINAS PRINCIPALES YGENERADORES DE LA LGISAB, LGCRIS, LGMARC Y LGPINT, INCLUYE REPUESTOS","complete","EC-RUC-1768011230001-2465","DIGMAT","315664.06","USD","direct","Bienes y Servicios únicos","services","ratedCriteria","2025-06-20T17:30:00-05:00","2025-07-01T12:00:00-05:00","2025-07-01T12:00:00-05:00","10","2025-06-20T17:30:00-05:00","","","","","Experiencia,Equipo Propuesto,Personal Técnico,Experiencia Personal Técnico","","2025-07-07T15:00:00-05:00","2025-07-07T15:00:00-05:00","","1"
"ocds-5wno2w-RE-PU-CJ-2025-002-48787","RE-PU-CJ-2025-002-48787-2025-07-18T17:01:56.403Z-compiled","RE-PU-CJ-2025-002-48787","RE-PU-CJ-2025-002-48787","CONTRATAR EL SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE LOS ASCENSORES DEL EDIFICIO MATRIZ DEL CONSEJO DE LA JUDICATURA","active","EC-RUC-1768097520001-48787","Consejo de la Judicatura","26919.24","USD","direct","Bienes y Servicios únicos","services","ratedCriteria","2025-06-20T15:00:00-05:00","2025-06-26T15:00:00-05:00","2025-06-26T15:00:00-05:00","6","2025-06-20T15:00:00-05:00","","","","","Otros Parámetros de Calificación,Cumplimiento Especificaciones,Equipo Propuesto,Experiencia General,Experiencia Específica,Experiencia Personal Técnico","","2025-07-04T16:00:00-05:00","2025-07-04T16:00:00-05:00","","1"
"ocds-5wno2w-RE-PU-GADMC-L-2025-04-38760","RE-PU-GADMC-L-2025-04-38760-2025-07-08T17:48:27.475Z-compiled","RE-PU-GADMC-L-2025-04-38760","RE-PU-GADMC-L-2025-04-38760","CONTRATACIÓN DEL SERVICIO MANTENIMIENTO PREVENTIVO, CORRECTIVO Y ASISTENCIA TÉCNICA PARA EQUIPOS DEL DATACENTER DEL GADMCL, INCLUYENDO EL SUMINISTRO DE REPUESTOS NECESARIOS","active","EC-RUC-0560000380001-38760","GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON LATACUNGA","9540.00","USD","direct","Bienes y Servicios únicos","services","ratedCriteria","2025-06-05T14:00:00-05:00","2025-06-12T14:00:00-05:00","2025-06-12T14:00:00-05:00","7","2025-06-05T14:00:00-05:00","","","","","Otros Parámetros de Calificación,Equipo Propuesto,Personal Técnico,Experiencia General,Experiencia Específica,Experiencia Personal Técnico","","2025-06-19T18:00:00-05:00","2025-06-19T18:00:00-05:00","","1"
"ocds-5wno2w-RE-PU-HEEE-2025-009-52558","RE-PU-HEEE-2025-009-52558-2025-07-19T17:16:49.155Z-compiled","RE-PU-HEEE-2025-009-52558","RE-PU-HEEE-2025-009-52558","?ADQUISICIÓN DEL MEDICAMENTO RIBOCICLIB SÓLIDO ORAL 200 MG PARA PACIENTESDE.BA.VI.IT. Y GU.AL.MA.TE. PARA EL HOSPITAL DE ESPECIALIDADES EUGENIO ESPEJO?","complete","EC-RUC-1768033980001-52558","Hospital Eugenio Espejo","56462.49","USD","direct","Bienes y Servicios únicos","goods","ratedCriteria","2025-06-20T17:30:00-05:00","2025-06-26T17:30:00-05:00","2025-06-26T17:30:00-05:00","6","2025-06-20T17:30:00-05:00","","","","TRUE","Otros Parámetros de Calificación","","2025-07-07T20:00:00-05:00","2025-07-07T20:00:00-05:00","","1"
"ocds-5wno2w-RE-PU-GADMSL-2025-001-86907","RE-PU-GADMSL-2025-001-86907-2025-07-23T17:03:48.746Z-compiled","RE-PU-GADMSL-2025-001-86907","RE-PU-GADMSL-2025-001-86907","BJETIVOS GENERAL? Disponer del servicio para el soporte y habilitación de las nuevas funcionalidades que cuentaactualmente el Sistema SIAPP para poder integrar nuevas tasas en el Área de Recaudación y Rentas.","active","EC-RUC-0860000670001-86907","Municipio de San Lorenzo","35000.00","USD","direct","Bienes y Servicios únicos","services","ratedCriteria","2025-06-20T17:00:00-05:00","2025-06-26T14:00:00-05:00","2025-06-26T14:00:00-05:00","5","2025-06-20T17:00:00-05:00","","","","","Cumplimiento Especificaciones,Personal Técnico,Experiencia Específica,Experiencia Personal Técnico","","2025-07-08T15:00:00-05:00","2025-07-08T15:00:00-05:00","","1"
"ocds-5wno2w-RE-PU-SUBZONAAZUAY-2025-001-50866","RE-PU-SUBZONAAZUAY-2025-001-50866-2025-08-12T22:33:16.128Z-compiled","RE-PU-SUBZONAAZUAY-2025-001-50866","RE-PU-SUBZONAAZUAY-2025-001-50866","CONTRATACION DEL SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE LOS VEHICULOS POLICIALES MARCA KIA DE LA SUBZONA AZUAY","active","EC-RUC-0160020110001-50866","SUBZONA AZUAY","155290.69","USD","direct","Bienes y Servicios únicos","services","ratedCriteria","2025-06-20T15:00:00-05:00","2025-06-26T15:00:00-05:00","2025-06-26T15:00:00-05:00","6","2025-06-20T15:00:00-05:00","","","","","Experiencia,Equipo Propuesto,Personal Técnico,Experiencia Específica","","2025-06-26T19:00:00-05:00","2025-06-26T19:00:00-05:00","","1"
"ocds-5wno2w-RE-PU-UNAE-2025-008-607247","RE-PU-UNAE-2025-008-607247-2025-10-06T19:35:54.100Z-compiled","RE-PU-UNAE-2025-008-607247","RE-PU-UNAE-2025-008-607247","ACCESO A USO DE LIBROS ELECTRÓNICOS A PERPETUIDAD","active","EC-RUC-1768181660001-607247","UNIVERSIDAD NACIONAL DE EDUCACION UNAE","8000.00","USD","direct","Bienes y Servicios únicos","services","ratedCriteria","2025-06-20T17:00:00-05:00","2025-06-27T09:00:00-05:00","2025-06-27T09:00:00-05:00","6","2025-06-20T17:00:00-05:00","","","","","Cumplimiento Especificaciones,Garantía Técnica,Experiencia General","","2025-07-07T17:00:00-05:00","2025-07-07T17:00:00-05:00","","1"
"ocds-5wno2w-RE-PU-UG-2025-004-55840","RE-PU-UG-2025-004-55840-2025-07-16T16:57:25.103Z-compiled","RE-PU-UG-2025-004-55840","RE-PU-UG-2025-004-55840","RENOVACION A LA BASE DE DATOS DE EBSCO ACADEMIC SEARCH PREMIER FUENTE ACADEMICA PREMIER, BUSINESS SOURCE PREMIER EBOOK ACADEMIC COLLECTION BIBLIOTECA VIRTUAL CON CONTENIDO EN JOURNALS Y EBOOKS ELECTRONICOS PARA ACTIVIDADES ACADEMICAS DE LA UG","complete","EC-RUC-0960002510001-55840","UNIVERSIDAD DE GUAYAQUIL","35910.00","USD","direct","Bienes y Servicios únicos","services","ratedCriteria","2025-06-20T16:00:00-05:00","2025-06-26T16:00:00-05:00","2025-06-26T16:00:00-05:00","6","2025-06-20T16:00:00-05:00","","","","","Oferta Económica,Otros Parámetros de Calificación,Cumplimiento Especificaciones,Experiencia Específica","","2025-06-30T18:00:00-05:00","2025-06-30T18:00:00-05:00","","1"
"ocds-5wno2w-RE-PU-ESPOCH-2025-02-53390","RE-PU-ESPOCH-2025-02-53390-2025-06-23T16:57:05.454Z-compiled","RE-PU-ESPOCH-2025-02-53390","RE-PU-ESPOCH-2025-02-53390","CONTRATACION A LA SUSCRIPCION DE LA BASE DE DATOS ACCESS ENGINEERING","active","EC-RUC-0660001250001-53390","ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO","9293.00","USD","direct","Bienes y Servicios únicos","services","ratedCriteria","2025-05-29T18:00:00-05:00","2025-06-04T10:00:00-05:00","2025-06-04T10:00:00-05:00","5","2025-05-29T18:00:00-05:00","","","","","Oferta Económica,Otros Parámetros de Calificación,Cumplimiento Especificaciones","","2025-06-13T18:00:00-05:00","2025-06-13T18:00:00-05:00","","1"
"ocds-5wno2w-RE-PU-HGSQ-2025-007-868544","RE-PU-HGSQ-2025-007-868544-2025-07-16T16:57:15.990Z-compiled","RE-PU-HGSQ-2025-007-868544","RE-PU-HGSQ-2025-007-868544","ADQUISICIÓN DEL PAPEL ELECTROCARDIOGRAFICO PARA EL SERVICIO DE CARDIOLOGÍA DEL HOSPITAL GENERAL DEL SUR DE QUITO","active","EC-RUC-1768189800001-868544","Hospital General del Sur de Quito","12600.00","USD","direct","Bienes y Servicios únicos","goods","ratedCriteria","2025-06-03T20:00:00-05:00","2025-06-09T10:00:00-05:00","2025-06-09T10:00:00-05:00","5","2025-06-03T20:00:00-05:00","","","","TRUE","Otros Parámetros de Calificación,Cumplimiento Especificaciones,Experiencia General","","2025-06-19T20:00:00-05:00","2025-06-19T20:00:00-05:00","","1"
"ocds-5wno2w-RE-PU-ESNACE-2025-001-2519","RE-PU-ESNACE-2025-001-2519-2025-06-24T17:05:53.827Z-compiled","RE-PU-ESNACE-2025-001-2519","RE-PU-ESNACE-2025-001-2519","Se realizara el proceso de ?ADQUISICIÓN DE PINTURAS MARINAS PARA LAS UNIDADES DE CODESC y COMSUB?, para las unidades de superficie subordinas a CODESC y las unidades Submarinas del COMSUB.","active","EC-RUC-1768026340001-2519","ESTACION NAVAL CENTRO","459093.52","USD","direct","Bienes y Servicios únicos","goods","ratedCriteria","2025-06-04T16:00:00-05:00","2025-06-09T11:00:00-05:00","2025-06-09T11:00:00-05:00","4","2025-06-04T16:00:00-05:00","","","","","Plazo de Entrega,Otros Parámetros de Calificación,Garantía Técnica","","2025-06-16T14:00:00-05:00","2025-06-16T14:00:00-05:00","","1"
"ocds-5wno2w-RE-PU-ELEPCOSA-2025-016-32043","RE-PU-ELEPCOSA-2025-016-32043-2025-08-12T22:33:23.283Z-compiled","RE-PU-ELEPCOSA-2025-016-32043","RE-PU-ELEPCOSA-2025-016-32043","ACTUALIZACIÓN DEL CGWEB A LAS APLICACIONES IMPLEMENTADAS EN LA EMPRESA ELÉCTRICA PROVINCIAL COTOPAXI S.A.","active","EC-RUC-0590042110001-32043","EMPRESA ELECTRICA PROVINCIAL COTOPAXI S.A.","17940.00","USD","direct","Bienes y Servicios únicos","services","ratedCriteria","2025-06-23T17:00:00-05:00","2025-06-27T10:00:00-05:00","2025-06-27T10:00:00-05:00","3","2025-06-23T17:00:00-05:00","","","","TRUE","Ponderación Variable Producción Nacional Otros,Personal Técnico,Experiencia General,Experiencia Específica,Experiencia Personal Técnico","","2025-07-16T17:00:00-05:00","2025-07-16T17:00:00-05:00","","1"
"ocds-5wno2w-RE-PU-DNPJ-2025-015-183304","RE-PU-DNPJ-2025-015-183304-2025-07-09T17:53:22.276Z-compiled","RE-PU-DNPJ-2025-015-183304","RE-PU-DNPJ-2025-015-183304","Servicio de Enlace de Datos con el Consorcio Ecuatoriano de Telecomunicaciones para laUNTIAT.","active","EC-RUC-1768048660001-183304","UDAF-EOD DIRECCION NACIONAL DE INVESTIGACION DE POLICIA JUDICIAL","11070.00","USD","direct","Bienes y Servicios únicos","services","ratedCriteria","2025-06-23T20:00:00-05:00","2025-06-30T16:00:00-05:00","2025-06-30T16:00:00-05:00","6","2025-06-23T20:00:00-05:00","","","","","Oferta Económica,Otros Parámetros de Calificación,Personal Técnico,Experiencia Personal Técnico","","2025-07-04T17:00:00-05:00","2025-07-04T17:00:00-05:00","","1"
"ocds-5wno2w-RE-PU-EPN-2025-006-45554","RE-PU-EPN-2025-006-45554-2025-08-19T17:51:27.804Z-compiled","RE-PU-EPN-2025-006-45554","RE-PU-EPN-2025-006-45554","Adquirir Equipos para el laboratorio deInstrumentación Biomédica y Producción Inteligente","active","EC-RUC-1760005620001-45554","ESCUELA POLITÉCNICA NACIONAL","10967.50","USD","direct","Bienes y Servicios únicos","goods","ratedCriteria","2025-06-24T10:30:00-05:00","2025-06-27T10:30:00-05:00","2025-06-27T10:30:00-05:00","3","2025-06-24T10:30:00-05:00","","","","","Otros Parámetros de Calificación,Cumplimiento Especificaciones","","2025-07-04T18:00:00-05:00","2025-07-04T18:00:00-05:00","","1"
