"ocid","id","rationale","budget_id","budget_description","budget_amount","budget_currency"
"ocds-5wno2w-RE-PU-HE-1-2025-093-43246","RE-PU-HE-1-2025-093-43246-2025-09-24T18:55:15.797Z-compiled","CONTRATACIÓN DEL SERVICIO DE MANTENIMIENTO PREVENTIVO URGENTE DE LA CAMIONETA CHEVROLET D-MAX HI RIDE 2.5 4X2 TM DE PLACAS XEA-2780 Y CAMIONETA CHEVROLET D-MAX CRDI HI RIDE 2.5 4X2 TM DE PLACAS XEA-2781 PERTENECIENTES AL HE1,","2025.074.0000.0000.01.00.000.001.000.1701.530405.000000.001.0000.0000-","","4604.45","USD"
"ocds-5wno2w-RE-PU-CNELEP-2025-10-462114","RE-PU-CNELEP-2025-10-462114-2025-08-28T19:01:54.356Z-compiled","LRS MNTTO ADQUISICION DE TABLEROS DE CONTROL 2025 GD","52103010","","45000.00","USD"
"ocds-5wno2w-RE-PU-EPMTPQ-2025-006-282215","RE-PU-EPMTPQ-2025-006-282215-2025-09-24T18:55:17.083Z-compiled","REPUESTOS MERCEDES BENZ O500 2025 2026","730813","","723042.47","USD"
"ocds-5wno2w-RE-PU-PG-2025-001-31125","RE-PU-PG-2025-001-31125-2025-07-24T17:14:32.868Z-compiled","CONTRATACIÓN DEL SERVICIO DE PRESENCIA DE MARCA DEL GOBIERNO AUTÓNOMO DESCENTRALIZADO PROVINCIAL DEL GUAYAS EN LA CUMBRE CACAO 2025","2025-0855","","70000.00","USD"
"ocds-5wno2w-RE-PU-HEEE-2025-010-52558","RE-PU-HEEE-2025-010-52558-2025-09-10T20:09:36.910Z-compiled","MANTENIMIENTO CORRECTIVO DEL EQUIPO DE ROSCADO ELÉCTRICO MARCA RIDGID DEL HOSPITAL DE ESPECIALIDADES EUGENIO ESPEJO","2025.320.1420.0000.57.00.000.001.000.1701.530404.000000.002.0000.0000-","","20856.26","USD"
"ocds-5wno2w-02-869714","02-869714-2025-09-02T19:09:30.442Z-compiled","SERVICIO DE MANTENIMIENTO PREVENTIVO CORRECTIVO DEL EQUIPO MARCA WATERS PARA LA COORDINACION GENERAL DE LABORATORIOS","2025.334.9999.0000.55.00.000.001.000.1801.530805.000000.002.0000.0000-","","27434.27","USD"
"ocds-5wno2w-RE-PU-GADMSAC-2025-013-3421","RE-PU-GADMSAC-2025-013-3421-2025-09-12T19:11:58.820Z-compiled","Adquisición de un sistema informático integral para la Administración Municipal","110.5.530701.000","","80000.00","USD"
"ocds-5wno2w-RE-PU-AGRUCOMGE-2025-03-110994","RE-PU-AGRUCOMGE-2025-03-110994-2025-08-12T22:49:57.872Z","MANTENIMIENTO PREVENTIVO Y/O CORRECTIVO POR VIGENCIA TECNOLÓGICA PARA LOS VEHÍCULOS GREAT WALL DEL AGRUCOMGE","2025.070.1054.0000.91.00.000.005.000.1701.530505.000000.001.0000.0000-","","2491.00","USD"
"ocds-5wno2w-RE-PU-CMFIEDM-2025-008-748941","RE-PU-CMFIEDM-2025-008-748941-2025-08-12T22:49:17.155Z-compiled","Contratar la ?ADQUISICIÓN DE REPUESTOS Y ACCESORIOS PARA LA TORRE DE ENDOSCOPIA PARA UROLOGÍA RICHARD WOLF?.","530813","","111324.00","USD"
"ocds-5wno2w-RE-PU-ANDEC-2025-005-467908","RE-PU-ANDEC-2025-005-467908-2025-09-17T19:12:46.846Z-compiled","ADQUISICION DE REPUESTOS PARA COMPRESOR Y SECADOR KAESER","5192012403","","60892.38","USD"
"ocds-5wno2w-RE-PU-CENTRO_DE_ESP_CENTRAL_GUAYAS-2025-00001-2739","RE-PU-CENTRO_DE_ESP_CENTRAL_GUAYAS-2025-00001-2739-2025-08-19T17:54:50.665Z-compiled","CONTRATACIÓN DEL SERVICIO DE MANTENIMIENTO PREVENTIVO YCORRECTIVO DE LOS EQUIPOS MÉDICOS DEL ÁREA DE OFTALMOLOGÍAINCLUYE REPUESTOS DEL CENTRO DE ESPECIALIDADES CENTRALGUAYAS","530404-530813","","18058.45","USD"
"ocds-5wno2w-RE-PU-CHONE-2025-02-466685","RE-PU-CHONE-2025-02-466685-2025-08-20T18:24:18.339Z-compiled","CONTRATACION DEL PLAN DE DATOS PARA LA EDUCADORA FAMILIAR PARA LA GESTIÓN DEL SERVICIO EN LA MODALIDAD CNH","2025.280.4250.0000.56.00.000.005.000.1303.530820.000000.001.0000.0000-","","22230.00","USD"
"ocds-5wno2w-RE-PU-CNE-2025-002-2546","RE-PU-CNE-2025-002-2546-2025-08-21T18:42:04.193Z-compiled","SERVICIO DE ACTUALIZACIÓN DE LA PLATAFORMA ARCGIS","2025.580.9999.0000.01.00.000.001.000.1701.530702.000000.001.0000.0000-","","20724.15","USD"
"ocds-5wno2w-RE-PU-CMFIEDM-2025-009-748941","RE-PU-CMFIEDM-2025-009-748941-2025-08-22T18:41:48.613Z-compiled","GUSELKUMAB LÍQUIDO PARENTERAL 100 MG/ML CAJA X JERINGAS/PLUMAS PRELLENADAS","530809","","23447.25","USD"
"ocds-5wno2w-RE-PU-GADMP_-2025-005-51620","RE-PU-GADMP_-2025-005-51620-2025-08-23T18:31:55.026Z-compiled","SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO POR VIGENCIA TECNOLÓGICA QUE INCLUYE REPUESTOS, MANO DE OBRA Y LUBRICANTES PARA EL PLAN DE MANTENIMIENTO DE LA EXCAVADORA DE ORUGA Komatsu/PC210LC-10MO AÑO 2024 Y RETROEXCAVADORA Komatsu/WB97R-5EO AÑO 2025, MARCA/ MODELO MOTOR Komatsu SAA4D104E-1","351.73.04.04.01-351.73.08.03-351.73.08.13","","26567.63","USD"
"ocds-5wno2w-RE-PU-ARCFIZ-2025-01-869714","RE-PU-ARCFIZ-2025-01-869714-2025-08-27T19:07:17.843Z-compiled","SERVICIO DE MANTENIMIENTO PREVENTIVO CORRECTIVO DE LOS EQUIPOS ANALIZADORES DE LECHE MARCA FOSS","2025.334.9999.0000.55.00.000.001.000.0901.530801.000000.002.0000.0000-","","29027.13","USD"
"ocds-5wno2w-RE-PU-BANEC-2025-01-722820","RE-PU-BANEC-2025-01-722820-2025-08-28T18:58:33.770Z-compiled","SERVICIO DE MEJORAS EN EL SWITCH TRANSACCIONAL ?ALEXSOFT EXTREMESERVER? PARA EL CUMPLIMIENTO DEL MANDATO SAFETYNET – MASTERCARD","450390060000","","23872.00","USD"
"ocds-5wno2w-RE-PU-COMEP-2025-001-1034729","RE-PU-COMEP-2025-001-1034729-2025-08-12T22:34:36.147Z-compiled","CONTRATACIÓN DEL SERVICIO DE LICENCIAMIENTO ANUAL DEL SISTEMA DE REDACCIÓN DE NOTICIAS ENPS PARA LA EMPRESA PÚBLICA DE COMUNICACIÓN DEL ECUADOR EP?","630702","","41304.36","USD"
"ocds-5wno2w-RE-PU-CONGOPE-2025-008-69008","RE-PU-CONGOPE-2025-008-69008-2025-08-12T22:49:52.302Z","SERVICIO ORGANIZACIÓN Y REALIZACIÓN PARA LAPARTICIPACIÓN EN LA FERIA ?FITUR PIURA APAVIT 2025?PERÚ 2025","01.02.01.003.010.001.7.73.02.49","","30000.00","USD"
"ocds-5wno2w-RE-PU-DINAF-2025-002-183518","RE-PU-DINAF-2025-002-183518-2025-08-12T22:43:45.197Z-compiled","SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO PARA EL PARQUE AUTOMOTOR MARCA GREAT WALL PERTENECIENTES A LA DINAF","2025.052.0004.0000.01.00.000.001.000.1701.530405.000000.001.0000.0000-","","28905.74","USD"
"ocds-5wno2w-RE-PU-EMOVEP-2025-001-315805","RE-PU-EMOVEP-2025-001-315805-2025-08-12T22:34:05.893Z-compiled","SERVICIO DE ACTUALIZACIÓN DE SOFTWARE DE ADQUISICIÓN Y PUBLICACIÓN DE DATOS DE LA RED DE MONITOREO DE CALIDAD DEL AIRE","002.01.000.530701.000.2","","20000.00","USD"
"ocds-5wno2w-RE-PU-EPAAGE-MEJIA-2025-05-384004","RE-PU-EPAAGE-MEJIA-2025-05-384004-2025-08-12T22:49:32.297Z-compiled","SERVICIO DE MANTENIMIENTO SISTEMA AQUA COMERCIAL Y DE LA LICENCIA TOMA DE LECTURAS DE MEDIDORES ON-LINE","6.3.07.04","","21667.00","USD"
"ocds-5wno2w-RE-PU-EPMAPASD-2025-02-273847","RE-PU-EPMAPASD-2025-02-273847-2025-08-12T22:34:50.944Z-compiled","MANTENIMIENTO Y SOPORTE DE SWITCH TRANSACCIONAL IT CONSOLE","110.530704","","30000.00","USD"
"ocds-5wno2w-RE-PU-DNPJ-2025-016-183304","RE-PU-DNPJ-2025-016-183304-2025-08-22T18:41:44.133Z-compiled","Servicio de mantenimiento preventivo y correctivo, para el parque automotor Great Wall,pertenecientes a la Dirección Nacional de Investigación de Policía Judicial y asignados a nivelnacional","2025.057.0000.0000.91.00.000.001.000.1701.530405.000000.001.0000.0000-","","139000.00","USD"
"ocds-5wno2w-RE-PU-EMGIRS-2025-003-325307","RE-PU-EMGIRS-2025-003-325307-2025-09-10T20:09:38.538Z-compiled","SERVICIO DE TRATAMIENTO DE LIXIVIADOS DEL RELLENO SANITARIO DE QUITO","73.06.07","","6337872.00","USD"
"ocds-5wno2w-RE-PU-EEASA-2025-050-3233","RE-PU-EEASA-2025-050-3233-2025-10-08T19:40:09.385Z-compiled","ADQUISICIÓN DE MÓDULOS AMI 3G/4G PARA EL SISTEMA DE TELEMEDICIÓN DE LA EEASA","1210102030201250101418250020408","","104979.00","USD"
"ocds-5wno2w-RE-PU-GADPP-2025-16-2426","RE-PU-GADPP-2025-16-2426-2025-08-12T22:34:58.489Z","SERVICIO DE POSICIONAMIENTO DEL DESTINO PICHINCHA EN EL EVENTO ?QUITO TRAIL BY UTMB, ECUADOR 2025","37.36.78.744.009.2025.730249","","30000.00","USD"
"ocds-5wno2w-RE-PU-ESPOCH-2025-13-53390","RE-PU-ESPOCH-2025-13-53390-2025-08-12T22:34:01.302Z-compiled","CONTRATACIÓN DE LA RENOVACIÓN A LA SUSCRIPCIÓN DE LA BASE DE DATOS OVID SALUD","2025.163.9999.0000.82.00.000.001.000.0601.530702.000000.002.7001.0006-","","40212.25","USD"
"ocds-5wno2w-RE-PU-ESPOCH-2025-15-53390","RE-PU-ESPOCH-2025-15-53390-2025-08-12T22:34:30.190Z-compiled","CONTRATACIÓN DE LA RENOVACIÓN A LA SUSCRIPCIÓN DE LA BASE DE DATOS ELIBRO","2025.163.9999.0000.82.00.000.001.000.0601.530702.000000.002.7001.0006-","","17736.71","USD"
"ocds-5wno2w-RE-PU-ESPOL-2025-008-26822","RE-PU-ESPOL-2025-008-26822-2025-08-12T22:48:40.127Z-compiled","SUSCRIPCIÓN DE BASE DE DATOS DE BIBLIOGRAFÍA CIENTÍFICA ESPECIALIZADAA NIVEL MUNDIAL PARA EL CENTRO DE INFORMACIÓN BIBLIOTECARIO – CIB DELA ESCUELA SUPERIOR POLITÉCNICA ESPOL","2025.167.0000.0000.82.00.000.001.000.0901.530204.000000.001.0000.0000-","","21105.00","USD"
"ocds-5wno2w-RE-PU-ESPOL-2025-010-26822","RE-PU-ESPOL-2025-010-26822-2025-10-16T20:06:04.864Z-compiled","SUSCRIPCIÓN A UN SERVICIO DE PROXY PARA AUTENTICACIÓN DE USUARIOS PARA EL ACCESO A LOS RECURSOS BIBLIOGRÁFICOS DIGITALES PARA EL CIB CENTRO DE INFORMACIÓN BIBLIOTECARIA DE LA ESCUELA SUPERIOR POLITÉCNICA DEL LITORAL ESPOL","2025.167.0000.0000.82.00.000.001.000.0901.530204.000000.002.7001.0010-","","7875.00","USD"
"ocds-5wno2w-RE-PU-ESPAMMFL-2025-02-25643","RE-PU-ESPAMMFL-2025-02-25643-2025-08-21T18:42:05.820Z-compiled","CONTRATACIÓN DEL SERVICIO DE SUSCRIPCIÓN ANUAL A LA BASE DE DATOS CIENTÍFICA SCOPUS DEL EDITOR ELSEVIER, PARA LA ESCUELA SUPERIOR POLITÉCNICA AGROPECUARIA DE MANABÍ MANUEL FÉLIX LÓPEZ","2025.188.0000.0000.83.00.154.001.000.1302.730702.000000.202.8888.8888-91880000.0000.388101","","16744.00","USD"
"ocds-5wno2w-RE-PU-FCQUCE-2025-001-81464","RE-PU-FCQUCE-2025-001-81464-2025-09-08T19:52:29.826Z-compiled","ADQUISICIÓN DE REACTIVOS PARA LOS EQUIPOS ROCHE COBAS C311 Y COBAS E411 DEL LABORATORIO DE ANALISIS CLÍNICOS Y BACTERIOLÓGICOS DE LA FACULTAD DE CIENCIAS QUÍMICAS – UCE","2025.175.0008.0000.01.00.000.013.000.1701.530819.000000.002.7001.0025-","","18753.94","USD"
"ocds-5wno2w-RE-PU-ESPOLTECH-2025-003-375899","RE-PU-ESPOLTECH-2025-003-375899-2025-09-12T19:11:54.076Z-compiled","ADQUISICIÓN DE UNA LICENCIA DE UNSOFTWARE MODELADO Y ANÁLISIS PARASISTEMAS DE DISTRIBUCIÓN ELÉCTRICA CONLOS MÓDULOS DE SUPERPOSICIÓN GEOGRÁFICAY ANALISIS DE LA CAPACIDAD DEALOJAMIENTO, PARA LA FACULTAD DEINGENIERÍA EN ELECTRICIDAD Y COMPUTACIÓN","530702","","14835.00","USD"
"ocds-5wno2w-RE-PU-EPP-2025-011-253178","RE-PU-EPP-2025-011-253178-2025-09-29T18:58:56.341Z-compiled","CONTRATACIÓN DEL SERVICIO DE SOPORTE TÉCNICO Y MANTENIMIENTO DEL LICENCIAMIENTO DE LA HERRAMIENTA SHIELDTECS","6202912","","40729.80","USD"
"ocds-5wno2w-RE-PU-EPMAPS-2025-003-258814","RE-PU-EPMAPS-2025-003-258814-2025-10-16T19:58:57.440Z-compiled","ADQUISICIÓN DE TARJETAS DE RED/MODULO ETHERNET DSE101 PARA DATALOGGER VAISALA","840111","","9828.00","USD"
"ocds-5wno2w-RE-PU-IKIAM-2025-006-599302","RE-PU-IKIAM-2025-006-599302-2025-08-12T22:34:23.436Z-compiled","Contratación del servicio de mantenimiento preventivo y correctivo especializado para el sintetizador de péptidos y rotavapores de la URAI","2025.087.9999.0000.83.00.000.002.000.1501.530813.000000.001.0000.0000-","","10001.63","USD"
"ocds-5wno2w-RE-PU-JPCAROLINA2009-2025-001-114721","RE-PU-JPCAROLINA2009-2025-001-114721-2025-08-12T22:50:10.475Z","CONTRATACIÓN DEL SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE LA VOLQUETA MARCA JAC DE PROPIEDAD DEL GAD PARROQUIAL LA CAROLINA, DE ACUERDO AL PRINCIPIO DE VIGENCIA TECNOLOGICA","730813","","11343.75","USD"
"ocds-5wno2w-RE-PU-HGSQ-2025-009-868544","RE-PU-HGSQ-2025-009-868544-2025-08-26T19:02:00.349Z-compiled","ADQUISICIÓN DE PLACAS DESCARTABLES PARA ELECTROBISTURI ADULTO PARA EL HOSPITAL GENERAL DEL SUR DE QUITO","02.00.000.002.530826.1701.601.0000.0000","","81147.00","USD"
"ocds-5wno2w-RE-PU-HGM-2025-003-74622","RE-PU-HGM-2025-003-74622-2025-09-10T20:12:40.299Z-compiled","SERVICIO DE REPARACIÓN PARA LA HABILITACIÓN DE EQUIPOS DE ANESTESIA DEL HOSPITAL GENERAL MANTA","530404","","109000.00","USD"
"ocds-5wno2w-RE-PU-IGM-2025-006-36136","RE-PU-IGM-2025-006-36136-2025-09-19T19:48:23.088Z-compiled","ADQUISICIÓN DE REPUESTOS PARA LAS MÁQUINAS CONTADORAS DE PAPELVACUUMATIC DE LA DIGSD","2025.072.0000.0000.01.00.000.002.000.1701.530813.000000.001.0000.0000-","","33897.19","USD"
"ocds-5wno2w-RE-PU-HGNGC-2025-006-818925","RE-PU-HGNGC-2025-006-818925-2025-09-12T19:11:51.782Z-compiled","CONTRATACION DEL SERVICIO DE MANTENIMIENTO PREVENTIVOPARA RESONADOR MAGNETICO DEL HOSPITAL GENERAL DEL NORTEDE GUAYAQUIL LOS CEIBOS","530404","","53613.36","USD"
"ocds-5wno2w-RE-PU-HGSF-2025-006-390394","RE-PU-HGSF-2025-006-390394-2025-09-03T19:15:01.209Z-compiled","CONTRATACIÓN DEL SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO QUE INCLUYE POSIBLES REPUESTOS DE LOS EQUIPOS MARCA SCHILLER, EMED, ATOM PERTENECIENTES AL HOSPITAL GENERAL SAN FRANCISCO","530404-530813","","14586.00","USD"
"ocds-5wno2w-RE-PU-HGISD-2025-002-519694","RE-PU-HGISD-2025-002-519694-2025-09-08T19:58:53.996Z-compiled","CONTRATACIÓN DEL SERVICIO DE MANTENIMIENTO PREVENTIVOCORRECTIVO Y CALIBRACION INCLUYE REPUESTOS, ACCESORIOS Y CONSUMIBLES PARA LOS EQUIPOSMÉDICOS DE LAS AREAS CRITICAS DEL HGISD","530813","","524791.41","USD"
"ocds-5wno2w-RE-PU-INOCAR-2025-003-1006003","RE-PU-INOCAR-2025-003-1006003-2025-09-13T19:07:01.030Z-compiled","?SERVICIO DE MANTENIMIENTO PREVENTIVO YCORRECTIVO PARA ESTACIÓN MAREOGRÁFICA CONTINENTAL?","2025.611.0000.0000.91.00.002.001.000.0901.730704.000000.202.8888.8888-66110000.0000.387100","","5721.00","USD"
"ocds-5wno2w-RE-PU-MDMQ-2025-1302-41357","RE-PU-MDMQ-2025-1302-41357-2025-09-17T19:12:45.251Z-compiled","SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE CAMIONETAS DOBLE CABINA 4X4 MODELO 1 CON VIGENCIA TECNOLÓGICA DE LA AGENCIA METROPOLITANA DE CONTROL - AMC?","530405","","58776.93","USD"
"ocds-5wno2w-RE-PU-MIMG-2025-004-44856","RE-PU-MIMG-2025-004-44856-2025-09-20T19:22:46.518Z-compiled","CONTRATACIÓN DEL SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE VEHÍCULOS PESADOS Y MAQUINARIAS BOMAG DE LA M.I MUNICIPALIDAD DE GUAYAQUIL","730404","","973867.01","USD"
"ocds-5wno2w-RE-PU-UTN-2025-11-83514","RE-PU-UTN-2025-11-83514-2025-09-03T19:15:21.134Z-compiled","CONTRATACIÓN DE LA SUSCRIPCIÓN A LA BASE DE DATOS ELIBRO PARA LA BIBLIOTECA DE LA UNIVERSIDAD TÉCNICA DEL NORTE","2025.169.9999.0000.82.00.000.002.000.1001.530204.000000.001.0000.0000-","","12946.50","USD"
"ocds-5wno2w-RE-PU-HG-AM-2025-001-2764","RE-PU-HG-AM-2025-001-2764-2025-08-12T22:49:29.330Z-compiled","CONTRATACIÓN DE MANTENIMIENTO PREVENTIVO CORRECTIVO Y COMPRA DE REPUESTOS Y ACCESORIOS PARA LOS EQUIPOS DE MARCA EDAN DEL HOSPITAL GENERAL AMBATO, HG-AM","02.00.000.004.530813.1801.601.0000.0000","","77925.00","USD"
"ocds-5wno2w-RE-PU-HGIIIDE-TARQUI2025-002-88080","RE-PU-HGIIIDE-TARQUI2025-002-88080-2025-08-12T22:34:44.708Z-compiled","SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO DEL EQUIPO DE QUÍMICA SANGUÍNEA ERBA XL 300 PARA EL PERÍODO PLURIANUAL DEL 20 DE MAYO DEL 2025 AL 30 DEMARZO DE 2026.","2025.070.1058.0000.86.00.000.003.000.0101.530809.000000.002.0000.0000-","","1360.00","USD"
"ocds-5wno2w-RE-PU-GADMUR-2025-006-2485","RE-PU-GADMUR-2025-006-2485-2025-09-29T18:58:45.809Z-compiled","PLAN DE MOVILIDAD CANTONAL SOSTENIBLE - CONTRATACIÓN DEL SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE LOS EQUIPOS Y MAQUINARIA DEL CRTV 2025-2026","7.3.04.04","","31500.00","USD"
"ocds-5wno2w-RE-PU-HE-1-2025-095-43246","RE-PU-HE-1-2025-095-43246-2025-09-23T18:58:44.419Z-compiled","CONTRATACIÓN DEL SERVICIO MANTENIMIENTO PREVENTIVO DE 02 DOS CAMIONETAS DE MARCA GREAT WALL MODELO POER AC 4X2 TM DIESEL PERTENECIENTES AL HE1 DE CUERDO AL PRINCIPIO DE VIGENCIA TECNOLÓGICA","2025.074.0000.0000.01.00.000.001.000.1701.530405.000000.001.0000.0000-","","15985.72","USD"
"ocds-5wno2w-RE-PU-HEP-2025-00007-889479","RE-PU-HEP-2025-00007-889479-2025-08-21T18:42:02.469Z-compiled","ADQUISICIÓN DE ACCESORIOS, PARTES Y PIEZAS QUE INCLUYA EL MANTENIMIENTO PREVENTIVO Y CORRECTIVO DEL TOMÓGRAFO NEUVIZ 64IN PORTÁTIL DEL HOSPITAL DE ESPECIALIDADES PORTOVIEJO","2025.320.9004.0000.55.00.000.004.000.1301.530813.000000.001.0000.0000-","","118525.82","USD"
"ocds-5wno2w-RE-PU-HEEE-2025-013-52558","RE-PU-HEEE-2025-013-52558-2025-08-28T18:58:33.206Z-compiled","ADQUISICION DEL MEDICAMENTO ABEMACICLIB SOLIDO ORAL 150MG PARAPACIENTES AUTORIZADOS AR.TO.MA.TE. Y AS.BR.LU.GE. COD. CONFIDENCIALIDADPARA EL HOSPITAL DE ESPECIALIDADES EUGENIO ESPEJO","2025.320.1420.0000.58.00.000.001.000.1701.530809.000000.001.0000.0000-","","29181.60","USD"
"ocds-5wno2w-RE-PU-HEEE-2025-011-52558","RE-PU-HEEE-2025-011-52558-2025-08-30T19:07:46.522Z-compiled","MANTENIMIENTO CORRECTIVO DE AIRES DE PRECISIÓN SY-G PPDA50SH Y PPDA40AG DEL HOSPITAL DE ESPECIALIDADES EUGENIO ESPEJO INCLUYE REPUESTOS","2025.320.1420.0000.57.00.000.001.000.1701.530404.000000.002.0000.0000-","","71570.00","USD"
"ocds-5wno2w-RE-PU-HCAM-2025-023-54651","RE-PU-HCAM-2025-023-54651-2025-09-04T18:36:22.418Z-compiled","ADQUISICIÓN DE LOS DISPOSITIVOS MÉDICOS: KIT UNIVERSAL DE ANESTESIA DE UN SOLO CUERPO PARA ADULTOS Y PEDIÁTRICO PARA LA UNIDAD DE ANESTESIOLOGÍA","530826","","180161.85","USD"
"ocds-5wno2w-RE-PU-HCAM-2025-014-54651","RE-PU-HCAM-2025-014-54651-2025-09-12T19:11:59.863Z-compiled","ADQUISICIÓN DEL MEDICAMENTOAGALSIDASA BETA SOLIDO PARENTERAL 35 MG PARA LA UNIDAD TÉCNICA DEFARMACIA HOSPITALARIA","530809","","770058.00","USD"
"ocds-5wno2w-RE-PU-GADMUR-2025-011-2485","RE-PU-GADMUR-2025-011-2485-2025-09-24T18:55:35.440Z-compiled","DESARROLLO DE UN MÓDULO INTEGRAL DE GESTIÓN MUNICIPAL QUE INCLUYA EL DISEÑO DE UNA ARQUITECTURA INSTITUCIONAL EFICIENTE - RENOVACIÓN Y ACTUALIZACIÓN DE SUSCRIPCIÓN DE LICENCIAS DE USO DE SOFTWARE DE INFORMACIÓN GEOREFERENCIAL GIS","12.7.3.07.02","","19360.00","USD"
"ocds-5wno2w-RE-PU-UPEC-2025-010-24327","RE-PU-UPEC-2025-010-24327-2025-08-12T22:34:55.022Z-compiled","CONTRATACIÓN ANUAL A LA PLATAFORMA DIGITALIA HISPÁNICA DE LIBROS DIGITALES PARA LA BIBLIOTECA LUCIANO CORAL DE LA UNIVERSIDAD POLITÉCNICA ESTATAL DEL CARCHI","2025.233.0000.0000.01.00.000.001.000.0401.530702.000000.003.0000.0000-","","7525.00","USD"
"ocds-5wno2w-RE-PU-UTMACH-2025-010-60177","RE-PU-UTMACH-2025-010-60177-2025-08-12T22:59:12.056Z-compiled","ADQUISICIÓN DE UN CROMATÓGRAFO LÍQUIDO PREPARATIVO PARA LA EJECUCIÓN DEL PROYECTO DE INVESTIGACIÓN ?CARACTERIZACIÓN QUÍMICA Y GENÉTICA DE VARIEDADES MEDICINALES DE CANNABIS SATIVA CULTIVADAS EN ECUADOR","2025.164.0000.0000.83.00.007.001.000.0701.840104.000000.998.0000.0000-91640000.0000.389198","","57130.00","USD"
"ocds-5wno2w-RE-PU-UTN-2025-10-83514","RE-PU-UTN-2025-10-83514-2025-10-02T19:03:38.524Z-compiled","CONTRATACIÓN DE LA SUSCRIPCIÓN A LA BASE DE DATOS TAYLOR Y FRANCIS PARA LA BIBLIOTECA DE LA UNIVERSIDAD TÉCNICA DEL NORTE","2025.169.9999.0000.82.00.000.002.000.1001.530204.000000.001.0000.0000-","","15631.00","USD"
"ocds-5wno2w-RE-PU-UITEY-2025-002-541976","RE-PU-UITEY-2025-002-541976-2025-08-21T18:42:04.503Z-compiled","Renovación de licencias ArcGIS para la Escuela de Ciencias de la Tierra, Energía y Ambiente de la Universidad de Investigación de Tecnología Experimental Yachay","2025.183.0000.0000.83.00.000.001.000.1006.530702.000000.001.0000.0000-","","3468.75","USD"
"ocds-5wno2w-RE-PU-UINPIAW23-2025-004-959480","RE-PU-UINPIAW23-2025-004-959480-2025-08-28T18:58:34.182Z-compiled","Suscripcion a plataformas digitales por medio de PROQUEST Proquest central para la Universidad Intercultural de las Nacionalidades y Pueblos Indigenas Amawtay  Wasi","2025.584.0000.0000.82.00.001.001.000.1701.730702.000000.202.8888.8888-95840000.0000.387126","","8082.25","USD"
"ocds-5wno2w-RE-PU-UNACH-2025-010-124774","RE-PU-UNACH-2025-010-124774-2025-08-30T19:07:45.598Z-compiled","CONTRATACIÓN DE ACCESO Y USO A LA BIBLIOTECA DIGITAL ELIBRO, COLECCIÓN UNACH EN ESPAÑOL, PARA ACTIVIDADES ACADÉMICAS Y DE INVESTIGACIÓN DE LA UNIVERSIDAD NACIONAL DE CHIMBORAZO, AÑO 2025","2025.180.0000.0000.82.00.000.003.000.0601.530702.000000.001.0000.0000-","","16800.00","USD"
"ocds-5wno2w-RE-PU-UNACH-2025-009-124774","RE-PU-UNACH-2025-009-124774-2025-09-04T18:36:23.445Z-compiled","CONTRATACIÓN DEL LICENCIAMIENTO DE SOFTWARE PARA LAIMPLEMENTACIÓN DEL LABORATORIO DE REALIDAD VIRTUAL DE LAFACULTAD DE CIENCIAS DE LA SALUD","2025.180.0000.0000.01.00.000.002.000.0601.530702.000000.001.0000.0000-","","38880.00","USD"
"ocds-5wno2w-RE-PU-UINPIAW23-2025-003-959480","RE-PU-UINPIAW23-2025-003-959480-2025-09-15T19:20:19.427Z-compiled","Contratacion del servicio de suscripcion a TAYLOR y FRANCIS Journals para la Universidad Intercultural de las Nacionalidades y Pueblos Indígenas Amawtay Wasi","2025.584.0000.0000.82.00.001.001.000.1701.730702.000000.202.8888.8888-95840000.0000.387126","","17000.00","USD"
"ocds-5wno2w-RE-PU-UC-2025-003-30951","RE-PU-UC-2025-003-30951-2025-09-20T19:22:49.086Z-compiled","ADQUISICIÓN DE ESCANER INTRA ORAL PARA EL ÁREA DE CLÍNICA DE POSGRADOS DE LA FACULTAD DE ODONTOLOGÍA DE LA UNIVERSIDAD DE CUENCA.","2025.161.0000.0000.82.00.000.003.000.0101.840115.000000.002.7001.0004-","","25072.40","USD"
"ocds-5wno2w-RE-PU-PMIS-2025-001-212187","RE-PU-PMIS-2025-001-212187-2025-08-25T18:49:09.394Z-compiled","CONTRATACIÓN DEL SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE EQUIPOS ODONTOLÓGICOS","730404","","3688.00","USD"
"ocds-5wno2w-RE-PU-ISSFA-2025-04-2803","RE-PU-ISSFA-2025-04-2803-2025-09-10T20:09:38.851Z-compiled","RISDIPLAM SOLIDO ORAL POLVO 0,75 MG SOBRE ML","2025.3.304.0001.5.2.0103.3","","184695.60","USD"
